id_tiempo,fecha,año,semestre,trimestre,mes,mes_nombre,dia_semana,semana,fecha_inicio_año,fecha_fin_año,fecha_inicio_semestre,fecha_fin_semestre,fecha_inicio_trimestre,fecha_fin_trimestre,fecha_inicio_mes,fecha_fin_mes,fecha_inicio_semana,fecha_fin_semana
20200116,2020-01-16 00:00:00,2020,1,1,1,Enero,Jueves,3,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-13 00:00:00,2020-01-19 00:00:00
20200117,2020-01-17 00:00:00,2020,1,1,1,Enero,Viernes,3,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-13 00:00:00,2020-01-19 00:00:00
20200118,2020-01-18 00:00:00,2020,1,1,1,Enero,Sábado,3,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-13 00:00:00,2020-01-19 00:00:00
20200119,2020-01-19 00:00:00,2020,1,1,1,Enero,Domingo,3,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-13 00:00:00,2020-01-19 00:00:00
20200120,2020-01-20 00:00:00,2020,1,1,1,Enero,Lunes,4,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-20 00:00:00,2020-01-26 00:00:00
20200121,2020-01-21 00:00:00,2020,1,1,1,Enero,Martes,4,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-20 00:00:00,2020-01-26 00:00:00
20200122,2020-01-22 00:00:00,2020,1,1,1,Enero,Miércoles,4,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-20 00:00:00,2020-01-26 00:00:00
20200123,2020-01-23 00:00:00,2020,1,1,1,Enero,Jueves,4,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-20 00:00:00,2020-01-26 00:00:00
20200124,2020-01-24 00:00:00,2020,1,1,1,Enero,Viernes,4,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-20 00:00:00,2020-01-26 00:00:00
20200125,2020-01-25 00:00:00,2020,1,1,1,Enero,Sábado,4,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-01-01 00:00:00,2020-01-31 00:00:00,2020-01-20 00:00:00,2020-01-26 00:00:00
